state,capital,population,latitude ,longitude
Andhra Pradesh,Amaravati,200000,20.932,77.7523
Arunachal Pradesh,Itanagar,80000,27.0844,93.6053
Assam,Dispur,500000,26.1433,91.7898
Bihar,Patna,2000000,25.5941,85.1376
Chhattisgarh,Naya Raipur,1200000,21.1611,81.7864
Goa,Panaji,100000,15.4909,73.8278
Gujarat,Gandhinagar,225000,23.2156,72.6369
Haryana,Chandigarh,1100000,30.7333,76.7794
Himachal Pradesh,Shimla,200000,31.1048,77.1734
Jharkhand,Ranchi,1400000,23.3441,85.3096
Karnataka,Bangalore,10000000,12.9716,77.5946
Kerala,Thiruvananthapuram,900000,8.5241,76.9366
Madhya Pradesh,Bhopal,2000000,23.2599,77.4126
Maharashtra,Mumbai,14400000,19.076,72.8777
Manipur,Imphal,300000,24.817,93.9368
Meghalaya,Shillong,170000,25.5788,91.8933
Mizoram,Aizawl,340000,23.7307,92.7173
Nagaland,Kohima,140000,25.6751,94.1086
Odisha,Bhubaneswar,1000000,20.2961,85.8245
Punjab,Chandigarh,1100000,30.7333,76.7794
Rajasthan,Jaipur,3600000,26.9124,75.7873
Sikkim,Gangtok,110000,27.3314,88.6138
Tamil Nadu,Chennai,5300000,13.0827,80.2707
Telangana,Hyderabad,8000000,17.385,78.4867
Tripura,Agartala,450000,23.8315,91.2868
Uttar Pradesh,Lucknow,3300000,26.8467,80.9462
Uttarakhand,Dehradun,700000,30.3165,78.0322
West Bengal,Kolkata,5000000,22.5726,88.3639
Delhi,Delhi,13000000,28.7041,77.1025
Jammu and Kashmir,Srinagar,1350000,34.0837,74.7973
Puducherry,Pondicherry,300000,11.9416,79.8083
Chandigarh,Chandigarh,1100000,30.7333,76.7794
Dadra and Nagar Haveli,Silvassa,340000,20.2753,73.0073
Daman and Diu,Daman,200000,20.3974,72.8328
Andaman and Nicobar Islands,Port Blair ,150000,11.6234,92.7265
Ladakh,Leh,30000,34.1526,77.5771
Lakshadweep,Kavaratti,12000,10.5593,72.6358
